Location,Dates and Times,Project Name / Agency,Description of Traffic Impacts
East,April 2019 - March 2021,1732/1812 Broadway,New 7 story apartment complex to be erected on existing site. Construction will close parking lane on Nagle Place and surrounding sidewalks.
I-5,19-May,1st Ave. NE closed overnight between NE 103rd St. and NE Northgate Way,"1st Ave. NE between NE 103rd St. and NE Northgate Way will be closed Thursday night during equipment mobilization. In addition, the I-5 on- and off-ramps at NE 107th St. will be closed. 11PM to 5AM."
Northeast,19-May,1st Ave. NE closed overnight between NE 103rd St. and NE Northgate Way,"1st Ave. NE between NE 103rd St. and NE Northgate Way will be closed Thursday night during equipment mobilization. In addition, the I-5 on- and off-ramps at NE 107th St. will be closed. 11PM to 5AM."
SODO,21-May,1st Ave. S. closed between Cherry St. and S. Dearborn St.,1st Ave. S. between Cherry St. and S. Dearborn St. will be closed in both directions on Saturday during a large volunteer spring clean-up of the median islands. East-West streets will remain open for circulation except for the westbound direction of S. Main St. will be closed between 2nd Ave S and 1st Ave S. The closure will be in effect from 7am to 3pm on Saturday.
Downtown,September 2019 - 2022,2301 7th Ave,Existing structures to be demolished in way of two new 42 story towers with parking below grade. Construction will intermittently close 7th Ave and Bell St.
South Lake Union,September 2019 - 2022,2301 7th Ave,Existing structures to be demolished in way of two new 42 story towers with parking below grade. Construction will intermittently close 7th Ave and Bell St.
Downtown,May 2018 - 2021,600 Wall St,A new 43 story tower will be erected on the existing site. Project will also include below grade parking.
South Lake Union,May 2018 - 2021,600 Wall St,A new 43 story tower will be erected on the existing site. Project will also include below grade parking.
Downtown,"October 2017 to December 31, 2020 24/7",Rainier Square 1301 5th Ave,"58-story mixed office, retail, residential, and hotel space. Opening late 2020. Intermittent sidewalk, curb lane, and traffic lane closures on block boarded by 4th Ave, Union St, 5th Ave, and University St."
Downtown,January 2019 to December 2021 24/7,802 Pine St.,"This 55 story skyscraper will be home to almost 500 apartment units and 7 floors of hotel, with retail space on ground level. Expect sidewalk improvements on Pine St., new sidewalks on 8th Ave, and pavement restoration of the travel lane on 8th Ave."
Downtown,July 2018 - July 2021 24/7,Denny Center 2014 Fairview Ave,"All existing structures will be demolished to make way for Denny Center, a new 41-story skyscraper. Denny Center will be home to over 400 apartment units, retail space, and below ground parking. Ongoing work includes sidewalk, utility services, and street repaving on Denny Ave, Fairview Ave, Boren Ave, and Virginia St."
Downtown,October 2019 to May 2020 24/7 ON-HOLD,715 8th Ave,"New 21-story senior housing community, 77 residential units and associated amenity areas. Sidewalk and parking lane closed on the west side of 8th Ave between Columbia St. and Cherry St. Sidewalk and parking lane closed on the south side of Columbia St. between 7th Ave and 8th Ave."
Downtown,Ongoing,Washington State Convention Center Addition Project 1600 9th Ave,"Crews will fully close Terry Ave between Olive Way and Howell St. to complete work on the new WSCC. Additionally, there will be sidewalk closures on 9th Ave and on Boren as well as parking land closures on the same blocks. Expect intermittent lane closures on 9th Ave, Howell, and Olive Way. Olive Way - 9th Ave to Boren Ave - sidewalk closed 24/7, south travel lane closed Mon - Fri 6:30AM - 5:30PM. 9th Ave - Olive Way to Pine St. - travel lane and sidewalk closed 24/7. Boren Ave - Olive Way to Pine St. - sidewalk closed 24/7, west travel lane closed Mon - Fri 8PM - 5AM. Pine St. - 9th Ave to Boren Ave - north sidewalk closed 24/7, north bus lane closed Mon - Fri 9AM - 3PM."
Downtown,Summer 2019 to Winter 2021 24/7,2014 Fairview Ave,"42-story structure containing 437 apartment units and 9,325 sq. ft. of retail space located at ground level and parking for 272 vehicles. Virginia St. fully closed between Denny Way and Fairview Ave."
Downtown,Summer 2019 to Winter 2021 24/7,2019 Boren Ave,"44-story, 393-unit apartment building that includes a 4-story podium with an arts facility, office and retail. Parking for 370 vehicles. Virginia St. fully closed between Denny Way and Fairview Ave."
Downtown,Until Early 2021 24/7,2200 7th Ave Block 21,"3 office buildings. Intermittent sidewalk, curb lane, and traffic lane closures on block boarded by 7th Ave, Bell St, 8th Ave, and Blanchard St."
East,June 2018 - December 2020 24/7,118 Broadway E,"Crews will work on right of way improvements along Broadway E and E Denny Way. Improvements include new sidewalks, landscaping, and utility connections and restoration."
East,June 2018 - December 2020 24/7,923 E John St,"Crews will work on right of way improvements along E John St and 10th Ave E. Improvements include new sidewalks and curbs, landscaping, and utility services."
East,March 2018 - March 2020 24/7 ON-HOLD,Trinity Condo Tower 615 8th Ave.,The Trinity Episcopal Parish in First Hill owns several lots adjacent to the church. In 2017 the church sold the development rights of these lots to a land developer to build a 27 story condo tower. The church retained ownership rights. Proposed work includes new curbs and street gutters on 8th Ave. and Cherry St. as well as new curb ramps on that intersection.
East,May 2018 - May 2020 24/7 ON-HOLD,Olympic Tower 715 8th Ave,"The Olympic Tower will be a 21 story apartment building. Additionally, it will have 5 levels of below grade parking on the corner of 8th Ave and Columbia St. Proposed work includes street frontage improvements, specifically new curbs, planters, and sidewalks."
SODO,"February 3, 2020 - Spring 2021",108 2nd Ave Ext S,The east parking lane / travel lane on 2nd Ave Ext S will close from Yesler Way to S Washington St. for construction at the Chief Seattle Building. East sidewalk will close and bike lane will remain open with overhead protection. 24/7.
SODO,January 2020 to Q3 2022,74 S Jackson St.,"8-story office building with retail and 42 parking spaces. North sidewalk closed on S Jackson St between Alaskan Way and 1st Ave. East parking lane and sidewalk closed on Alaskan Way between Jackson St and Main St. Alley to be closed during demolition, shoring, and brick facade work. Open at all times possible. Staging area on Alaskan way frontage to not exceed 23 ft from face of building per Office of the Waterfront."
South,March 2019 - March 2020 24/7 ON-HOLD,442 S Main St.,"This 17 story mixed use building will include retail units at street level, below-grade parking, and apartment units."
South Lake Union,July 2018 - July 2021 24/7,Denny Center 2014 Fairview Ave,"All existing structures will be demolished to make way for Denny Center, a new 41-story skyscraper. Denny Center will be home to over 400 apartment units, retail space, and below ground parking. Ongoing work includes sidewalk, utility services, and street repaving on Denny Ave, Fairview Ave, Boren Ave, and Virginia St."
South Lake Union,Summer 2019 to Winter 2021 24/7,2014 Fairview Ave,"42-story structure containing 437 apartment units and 9,325 sq. ft. of retail space located at ground level and parking for 272 vehicles. Virginia St. fully closed between Denny Way and Fairview Ave."
South Lake Union,Summer 2019 to Winter 2021 24/7,2019 Boren Ave,"44-story, 393-unit apartment building that includes a 4-story podium with an arts facility, office and retail. Parking for 370 vehicles. Virginia St. fully closed between Denny Way and Fairview Ave."
South Lake Union,Until Further Notice 24/7,400 Westlake Ave N,14-story office tower opening Spring 2021. Sidewalk and parking lane closures on east side of Westlake Ave N and north side of Harrison St. 24/7 protected pedestrian path in parking lane on Westlake Ave N.
I-5,March 23 to mid-2022,West Seattle Bridge,"The West Seattle High-Rise Bridge is closed to all traffic due to accelerated concrete cracking that was identified during a regular bridge inspection. All vehicles are prohibited from crossing between SR99 and Fauntleroy Way SW. The Spokane Street Bridge, also known as the Low Bridge or East Channel Bridge, is closed to the general driving public and will only remain open for transit, freight and emergency vehicles. Motorist should use the First Ave or South Park bridges. Click here for a map of alternative route suggestions. Navigation services such as Google and Waze will reroute you over the First Ave or South Park bridges."
West,March 23 to mid-2022,West Seattle Bridge,"The West Seattle High-Rise Bridge is closed to all traffic due to accelerated concrete cracking that was identified during a regular bridge inspection. All vehicles are prohibited from crossing between SR99 and Fauntleroy Way SW. The Spokane Street Bridge, also known as the Low Bridge or East Channel Bridge, is closed to the general driving public and will only remain open for transit, freight and emergency vehicles. Motorist should use the First Ave or South Park bridges. Click here for a map of alternative route suggestions. Navigation services such as Google and Waze will reroute you over the First Ave or South Park bridges."
Northeast,Fall 2020 to Spring 2022,15th Ave NE Paving Project,"15th Ave NE is a minor arterial serving northeast Seattle. Approximately 10,000 vehicles travel this street on an average day. This corridor connects the University District, Ravenna, and Maple Leaf neighborhoods, and is a major transit street, serving King County Metro routes 71, 73, and 373. This section of 15th Ave NE is home to houses, apartment buildings, businesses, and Roosevelt High School. As part of the paving program, we'll pave approximately 1.3 miles of 15th Ave NE to make it safer and more comfortable to travel on, and to extend the useful life of the pavement."
Downtown,April 17 to TBD 24/7,"""Stay Healthy Streets""","Portions of neighborhood greenways are opening to people living in the neighborhood for walking, rolling and biking. Local traffic is still allowed on the streets. 27 total miles in Greenwood, Green Lake, Othello / Rainier Beach, Central District, Beacon Hill, West Seattle, Lake City, Ballard, Licton Springs and Beach Drive SW and more."
East,April 17 to TBD 24/7,"""Stay Healthy Streets""","Portions of neighborhood greenways are opening to people living in the neighborhood for walking, rolling and biking. Local traffic is still allowed on the streets. 27 total miles in Greenwood, Green Lake, Othello / Rainier Beach, Central District, Beacon Hill, West Seattle, Lake City, Ballard, Licton Springs and Beach Drive SW and more."
North,April 17 to TBD 24/7,"""Stay Healthy Streets""","Portions of neighborhood greenways are opening to people living in the neighborhood for walking, rolling and biking. Local traffic is still allowed on the streets. 27 total miles in Greenwood, Green Lake, Othello / Rainier Beach, Central District, Beacon Hill, West Seattle, Lake City, Ballard, Licton Springs and Beach Drive SW and more."
Northeast,April 17 to TBD 24/7,"""Stay Healthy Streets""","Portions of neighborhood greenways are opening to people living in the neighborhood for walking, rolling and biking. Local traffic is still allowed on the streets. 27 total miles in Greenwood, Green Lake, Othello / Rainier Beach, Central District, Beacon Hill, West Seattle, Lake City, Ballard, Licton Springs and Beach Drive SW and more."
Northwest,April 17 to TBD 24/7,"""Stay Healthy Streets""","Portions of neighborhood greenways are opening to people living in the neighborhood for walking, rolling and biking. Local traffic is still allowed on the streets. 27 total miles in Greenwood, Green Lake, Othello / Rainier Beach, Central District, Beacon Hill, West Seattle, Lake City, Ballard, Licton Springs and Beach Drive SW and more."
West,April 17 to TBD 24/7,"""Stay Healthy Streets""","Portions of neighborhood greenways are opening to people living in the neighborhood for walking, rolling and biking. Local traffic is still allowed on the streets. 27 total miles in Greenwood, Green Lake, Othello / Rainier Beach, Central District, Beacon Hill, West Seattle, Lake City, Ballard, Licton Springs and Beach Drive SW and more."
West,June 2020 to Late-2022,Delridge Way SW - Rapid Ride H Line,"SDOT is partnering with King County Metro to rebuild Delridge Way SW and make improvements for people walking, biking and taking the new RapidRide H Line. The work zone will be along Delridge Way SW between SW Spokane St. and SW Roxbury St. Delridge Way SW will be open to traffic during construction with one lane of traffic in each direction at most times, though temporary detours may be required."
East,2018 through 2020 PROJECT PAUSED,23rd Ave E Vision Zero Project,"High Friction Surface Treatments (HFST) will be added to intersections where collision rates and high when road conditions are wet and slippery. These surface treatments add a thin layer of course material on top of the street to improve skid-resistance to the pavement. To prepare for installation of these treatments, crews may power wash the pavement and temporarily remove some striping. Any striping removed will be reinstalled after the HFST has set. HFST to be installed at the following intersections: - 24th Ave E / E Louisa St. - 24th Ave E / E Lynn St. - 24th Ave E / E Helen St. / Turner Way"
East,2018 through 2020,23rd Ave E Vision Zero Project,SDOT is enhancing safety and mobility on 23rd Ave E / 24th Ave E between E John St. and E Roanoke St. as part of the Vision Zero efforts to reach zero traffic deaths and serious injuries by 2030.
South Lake Union,August 2019 to February 2022,210 8th Ave N,"28-story, 374-unit apartment building. 8th Ave N between John St. and Thomas St. - East sidewalk and parking lane closed 24/7. Travel lane closed 7AM - 5PM. John St. between 8th Ave N and 9th Ave N - North sidewalk and parking lane closed 24/7."
Downtown,June 2018 to December 2021 24/7,1200 Stewart St.,"Two 48-story residential towers, 4-story residential low-rise, 3-story podium base and 5 levels of underground parking. Project includes new curbs, gutters, sidewalks, utility services, pavement restoration and landscaping. Intermittent sidewalk, curb lane and traffic lane closures on Minor Ave, Stewart St., Denny Way and Yale Ave."
Downtown,November 2018 to Winter 2020 24/7,2031 3rd Ave,"36-story mixed-use residential, retail, and office spaces with 5 floors of underground parking. Opening Summer of 2020. Intermittent sidewalk, curb lane, and traffic lane closures on the SW corner of 3rd Ave. & Lenora St. 24-hour closure of the following spaces: west sidewalk and parking lane on 3rd Ave from midblock to Lenora St., south sidewalk and parking lane on Lenora St."
Downtown,October 2017 to 2026 PROJECT PAUSED,Center City Connector Streetcar,"The Center City Connector is a segment of Seattle's streetcar system that will link the South Lake Union and First Hill Streetcar lines, creating a system that will connect over a dozen Seattle neighborhoods in Seattle's Center City. Crew will relocate water, electric, and sewer utilities along 1st Ave between Madison and Stewart St. and along Stewart St. between 1st Ave and Westlake Ave. Expect lane reductions, reduced parking spots, and nighttime intersection closures. Timeline: 2019: Council appropriates $9M to streetcar design 2020: Q1: Streetcar design Q4: Update scope, cost estimate, schedule and funding 2021: Finalize design & start vehicle procurement 2022: Construction 2025: Streetcar testing 2026: Start operating Streetcar network"
